Job_id,Job title,Job posting date,Job posting url,Job location,Pay rate,Vendor company name,Job type,Work from availability,Work type(remote/on-site),Modified Date,Current date time,Job Title
e80f8ff76fb7fecbca646082e7064fad,Lead Data Analyst,2024-01-30T14:58:31Z,https://www.dice.com/job-detail/f1595034-a35d-4930-9e41-18a3b4797cd2,"McLean, VA, USA",Depends on Experience,Tekfortune Inc.,Contract,FALSE,Hybrid/Onsite,2024-01-30T15:04:35Z,2024-01-31T11:53:43Z,Data Analyst
14d3e10992421ed4126bf79786931e18,Technical Data Analyst(Lead),2024-01-30T14:58:20Z,https://www.dice.com/job-detail/d8540dca-e9ad-47b5-82e3-83fef6969d55,"McLean, VA, USA",Depends on Experience,Tekfortune Inc.,"Third Party, Contract",FALSE,Hybrid/Onsite,2024-01-30T14:58:20Z,2024-01-31T11:53:43Z,Data Analyst
176c967e36561ad37df60ed027e5792f,Lead Technical Data Analyst,2024-01-30T21:56:48Z,https://www.dice.com/job-detail/f87c947d-3970-4db8-8377-8b057633eb2b,"McLean, VA, USA",Depends on Experience,Cyber Sphere LLC,"Third Party, Contract",FALSE,Hybrid/Onsite,2024-01-30T21:56:48Z,2024-01-31T11:53:43Z,Data Analyst
4ad075e0687b0ac8b84a599d447a8ddd,"Data Analyst - Finance Reconciliation - Minneapolis, MN or Charlotte, NC",2024-01-30T14:23:45Z,https://www.dice.com/job-detail/fedf7f64-567a-43f1-9f7b-61eee1dd89e4,"Charlotte, NC, USA",$40 - $45,Amtex Enterprises,Contract,FALSE,Hybrid/Onsite,2024-01-30T14:23:45Z,2024-01-31T11:53:43Z,Data Analyst
8f8fcf49215698bd28ee05eeef4cde0a,"Data Analyst - Minneapolis, MN or Charlotte, NC",2024-01-30T05:41:45Z,https://www.dice.com/job-detail/877607e9-2929-4a02-9659-275a96bf3bf1,"Charlotte, NC, USA",Depends on Experience,Techmatic Inc,Contract,FALSE,Hybrid/Onsite,2024-01-30T05:41:45Z,2024-01-31T11:53:43Z,Data Analyst
3c72e95961e1ee6f0b5b96e1010b8968,Business Data  Analyst-Excel and Access exp needed,2024-01-29T22:07:54Z,https://www.dice.com/job-detail/cf6d2536-e6a2-4b80-8233-e106a5b0b3f6,"Plano, TX, USA",Depends on Experience,Marlabs LLC,Contract,FALSE,Hybrid/Onsite,2024-01-30T18:03:33Z,2024-01-31T11:53:43Z,Data Analyst
89393ece7e3a74a29bce9d858e88ee0a,Data Validation Analyst - BA,2024-01-29T17:39:26Z,https://www.dice.com/job-detail/64a7ffe9-9db0-4a5f-a3c2-242a55648bda,,Depends on Experience,Tan Check Consolidated Inc.,"Contract, Third Party",FALSE,Remote,2024-01-30T18:47:42Z,2024-01-31T11:53:43Z,Data Analyst
3f3b81a8d92f2e25c3fe1536350503b7,Data Conversion Analyst,2024-01-30T20:09:58Z,https://www.dice.com/job-detail/e725ac8d-6c53-475e-aedd-736c72c8a224,"Fremont, CA, USA",Depends on Experience,Arthur Lawrence,Contract,FALSE,Hybrid/Onsite,2024-01-30T20:09:58Z,2024-01-31T11:53:43Z,Data Analyst
e295a1acafa13b83ef6335747eaed6db,Data science Analyst,2024-01-30T14:24:47Z,https://www.dice.com/job-detail/f8996186-6ba7-41d8-9e8d-e18334d4a3ea,"California City, CA, USA",Depends on Experience,Meta Soft Inc.,Contract,FALSE,Hybrid/Onsite,2024-01-30T14:24:47Z,2024-01-31T11:53:43Z,Data Analyst
bdb5b43c24356601b79c2d93697010c9,Data Ops Analyst,2024-01-30T16:11:41Z,https://www.dice.com/job-detail/18961c3c-3699-405d-930d-6c1f37641ec5,"Chicago, IL, USA",$44 - $45 per hour,LaSalle Network,Contract,FALSE,Hybrid/Onsite,2024-01-31T04:07:35Z,2024-01-31T11:53:43Z,Data Analyst
bfecc1ba51c3fbdc76733b80e2b39318,"Data Migration Analyst - Chesterfield, VA (Hybrid) - F2f Interview",2024-01-30T16:15:29Z,https://www.dice.com/job-detail/5578679f-cb0a-460c-a1e7-452d4b65bd1d,"Richmond, VA, USA",$50+,"Vector Consulting, Inc","Third Party, Contract",FALSE,Hybrid/Onsite,2024-01-30T16:15:29Z,2024-01-31T11:53:43Z,Data Analyst
23018d849220e013b508abe6643e9df6,Data Science Analyst,2024-01-29T22:42:19Z,https://www.dice.com/job-detail/839a1356-e0b0-48f9-97ab-8614bb64f366,"Fremont, CA, USA",Depends on Experience,Cynet Systems,"Contract, Third Party",FALSE,Hybrid/Onsite,2024-01-30T19:08:08Z,2024-01-31T11:53:43Z,Data Analyst
8bce379543ac4b86068a8df6129b614f,EDG Data Analyst II,2024-01-29T21:20:18Z,https://www.dice.com/job-detail/ee530d79-4acf-49b2-831d-42b5d5451114,"Philadelphia, PA, USA",Depends on Experience,"Partner's Consulting, Inc.",Contract,FALSE,Hybrid/Onsite,2024-01-29T21:20:18Z,2024-01-31T11:53:43Z,Data Analyst
9bc488838b74dcbb8da2d333aacf2999,Data Analyst with ETL PYTHON and JAVA,2024-01-29T20:54:05Z,https://www.dice.com/job-detail/81d6ff47-3826-4a3f-b08e-7d67aab167ee,"Philadelphia, PA, USA",$60 - $65,DCM Infotech Limited,Contract,FALSE,Hybrid/Onsite,2024-01-29T20:54:05Z,2024-01-31T11:53:43Z,Data Analyst
75087c7495a2ec91ed57b3f9043fe379,SAP Data Migration Analyst,2024-01-29T19:45:43Z,https://www.dice.com/job-detail/455ffe15-6b8d-4371-a96a-49d67ed44796,"Universal City, CA, USA",Depends on Experience,Cynet Systems,"Contract, Third Party",FALSE,Hybrid/Onsite,2024-01-30T19:08:13Z,2024-01-31T11:53:43Z,Data Analyst
74c5f296411ddd80c4b41bbfa51df175,ETL Data Analyst,2024-01-29T19:56:32Z,https://www.dice.com/job-detail/8a56577b-9293-49cb-a9a9-84e73fef5c59,"Philadelphia, PA, USA",Depends on Experience,Generis TEK Inc.,"Third Party, Contract",FALSE,Hybrid/Onsite,2024-01-30T09:34:31Z,2024-01-31T11:53:43Z,Data Analyst
2837481cbc9de0185eea77030783a621,Data Analyst,2024-01-29T18:45:10Z,https://www.dice.com/job-detail/fa81d71b-0c3e-43df-91ab-c6e57d060d18,"Richmond, VA, USA",$45 - $50,"Pyramid Consulting, Inc.",Contract,FALSE,Hybrid/Onsite,2024-01-30T16:07:43Z,2024-01-31T11:53:43Z,Data Analyst
63c704db38461bc14d332f8c9673828b,Data Analyst C-Shopper,2024-01-29T17:32:44Z,https://www.dice.com/job-detail/51ca789e-ad97-472a-ba6c-fbf5fc6dd63e,"Irving, TX, USA",$35 - $40 hourly,Kforce Technology Staffing,Contract,FALSE,Hybrid/Onsite,2024-01-31T04:41:16Z,2024-01-31T11:53:43Z,Data Analyst
ffdadce7759a4bc7ba55fb46e74f3b44,Data Analyst - Atlanta (Onsite),2024-01-29T18:41:21Z,https://www.dice.com/job-detail/f903da77-a230-40a7-a0d5-f26aef9cdd52,"Atlanta, GA, USA",Depends on Experience,Chabez Tech LLC,"Contract, Third Party",FALSE,Hybrid/Onsite,2024-01-29T18:41:21Z,2024-01-31T11:53:43Z,Data Analyst
9a0b1f9999499548c827b78a48995414,SAP Data Migration Analyst,2024-01-29T15:31:46Z,https://www.dice.com/job-detail/e9f82c28-c5be-4977-8881-0eaacc4d4bdf,"Universal City, CA, USA",$80+,Shrive Technologies LLC,Contract,FALSE,Hybrid/Onsite,2024-01-29T15:31:46Z,2024-01-31T11:53:43Z,Data Analyst
38cdd509c5d6c118b1f613422c020c91,Financial Data Analyst,2024-01-26T19:25:18Z,https://www.dice.com/job-detail/deafc052-8a1f-48f4-8313-ee7b0fca6a98,"Armonk, NY, USA",Depends on Experience,Info Origin Inc.,Contract,FALSE,Hybrid/Onsite,2024-01-26T19:25:18Z,2024-01-31T11:53:43Z,Data Analyst
586a641201c182481c6447bc9a6550d5,Business Analyst/ Data Analyst,2024-01-29T15:59:27Z,https://www.dice.com/job-detail/1a1eaaba-7ca3-42bb-b1f2-e1c9238b46d1,"Richmond, VA, USA",Depends on Experience,"Vector Consulting, Inc",Contract,TRUE,Hybrid/Onsite,2024-01-29T15:59:27Z,2024-01-31T11:53:43Z,Data Analyst
ca5a7bc96dfcf0f2dc32ae38c49a7001,Data Analyst,2024-01-26T21:14:25Z,https://www.dice.com/job-detail/5b77e234-33a2-4004-8d05-042e324c8a75,"Phoenix, AZ, USA","$60,000 - $70,000",AaraTechnologies Inc,Contract,FALSE,Hybrid/Onsite,2024-01-26T21:14:25Z,2024-01-31T11:53:43Z,Data Analyst
7886a03a2d67902629e5f7fc80db67d5,Data Analyst- Should have supported Sales,2024-01-26T14:05:56Z,https://www.dice.com/job-detail/8a2aa52d-d81d-4899-b56c-139584ca824c,"Ridgefield Park, NJ, USA",Depends on Experience,Marlabs LLC,Contract,FALSE,Hybrid/Onsite,2024-01-30T18:03:11Z,2024-01-31T11:53:43Z,Data Analyst
c47513fddceecadbe41a346200d66825,Project Manager/Data Analyst with Financial,2024-01-29T14:41:06Z,https://www.dice.com/job-detail/ee3448d2-818f-4e16-a5c8-e3dfe3c49275,"Baltimore, MD, USA",$30 - $35,Kellton,Contract,FALSE,Hybrid/Onsite,2024-01-30T15:02:32Z,2024-01-31T11:53:43Z,Data Analyst
577bd3b8d41399f00c302e1146d8afe4,Data Analyst,2024-01-26T21:07:47Z,https://www.dice.com/job-detail/d40b812e-e4a6-4631-93ba-d1943b90ac9e,"Denver, CO, USA","$60,000 - $70,000",AaraTechnologies Inc,Contract,FALSE,Hybrid/Onsite,2024-01-26T21:07:47Z,2024-01-31T11:53:43Z,Data Analyst
f37fae945daf62e6b1d533489294048a,Data Analyst JT4JY,2024-01-26T15:08:49Z,https://www.dice.com/job-detail/cfbb0204-f32b-47b3-b7c4-00443ed6d0c5,"Houston, TX, USA",BASED ON EXPERIENCE,iSphere,Contract,FALSE,Hybrid/Onsite,2024-01-31T01:07:22Z,2024-01-31T11:53:43Z,Data Analyst
877cc6d4dc48621077194fc4295f4697,Data Analyst,2024-01-26T21:10:40Z,https://www.dice.com/job-detail/972e8a2d-ad2a-4c5c-84dc-cf2234e314cb,"Richmond, VA, USA","$60,000 - $70,000",AaraTechnologies Inc,Contract,FALSE,Hybrid/Onsite,2024-01-26T21:10:40Z,2024-01-31T11:53:43Z,Data Analyst
342738dc6b99f1bb07ffe6aa15aedd74,Sr Data Analyst (Onsite),2024-01-25T21:53:28Z,https://www.dice.com/job-detail/ba333032-6f37-46cf-abd0-a21c34015ee8,"Wesleyville, PA, USA",Depends on Experience,Valcan IT Inc,Contract,FALSE,Hybrid/Onsite,2024-01-25T21:54:12Z,2024-01-31T11:53:43Z,Data Analyst
0d881eceb6abcba1c0a0222121b9f5ac,Data Analyst,2024-01-22T17:32:56Z,https://www.dice.com/job-detail/41623df2-d7a6-40e5-98f7-d90a0f4ac508,"Madison, WI, USA",$50 - $60 hourly,Kforce Technology Staffing,Contract,FALSE,Hybrid/Onsite,2024-01-31T04:36:56Z,2024-01-31T11:53:43Z,Data Analyst
b9caa7e5799cbe583b01de68cecae72f,Oracle Data Analyst,2024-01-23T22:15:28Z,https://www.dice.com/job-detail/2385433d-fc40-4b11-8883-a4e0001521f6,"New York, NY, USA",$DOE,Innovee Consulting LLC,Contract,FALSE,Hybrid/Onsite,2024-01-30T22:45:31Z,2024-01-31T11:53:43Z,Data Analyst
f277cfab18b1c4908c2854c0c3c505ca,Data Analyst/Report Writer - $77 CTC - ONSITE,2024-01-25T21:48:45Z,https://www.dice.com/job-detail/a9516574-434c-4223-89a2-349391c1e79d,"Austin, TX, USA",Depends on Experience,"Chandra Technologies,  Inc.",Contract,FALSE,Hybrid/Onsite,2024-01-25T21:48:45Z,2024-01-31T11:53:43Z,Data Analyst
472982ba662ff078378685fbaf244609,"SAP Data Migration Analyst - 10+ Years - Onsite - Universal City, CA",2024-01-29T15:40:46Z,https://www.dice.com/job-detail/e98e1fb1-1040-49e7-a9e0-45693056bf0a,"Universal City, CA, USA",$70 - $80,Sierra Business Solution LLC,"Third Party, Contract",FALSE,Hybrid/Onsite,2024-01-29T15:40:46Z,2024-01-31T11:53:43Z,Data Analyst
fa30a614d1538f9cf5904a7eca9c2cac,Data Analyst,2024-01-26T21:16:20Z,https://www.dice.com/job-detail/12b39f44-2a4b-413a-a246-6ee78afccc43,"Raleigh, NC, USA","$60,000 - $70,000",AaraTechnologies Inc,Contract,FALSE,Hybrid/Onsite,2024-01-26T21:16:20Z,2024-01-31T11:53:43Z,Data Analyst
a1de0d2445ddbadab929070b4d03419f,Need Lead Data Analyst with Mongo DB/NoSQL Exp,2024-01-09T23:21:27Z,https://www.dice.com/job-detail/ff34d4f9-df47-4a38-ac8b-c5a9453d9c2e,"McLean, VA, USA",$60 - $70,"Svam International, Inc.","Contract, Third Party",FALSE,Hybrid/Onsite,2024-01-30T15:52:26Z,2024-01-31T11:53:43Z,Data Analyst
11ba8f3a60ec55abbacc3ae6a170eba5,Data Analyst,2024-01-28T01:03:44Z,https://www.dice.com/job-detail/77dca910-780b-444d-8add-583644ca95ed,"Detroit, MI, USA",USD 35.63 - 41.25 per hour,Robert Half,Contract,FALSE,Hybrid/Onsite,2024-01-31T01:05:08Z,2024-01-31T11:53:43Z,Data Analyst
83a1b004ec3022c801c575b1d3070fbd,Data Analyst,2024-01-05T16:40:58Z,https://www.dice.com/job-detail/e5857031-7531-49fe-8748-e0114e536647,"Richland, WA, USA",$50 - $80,CPS Comtech,Contract,FALSE,Hybrid/Onsite,2024-01-30T16:49:24Z,2024-01-31T11:53:43Z,Data Analyst
c5d0d73e8aea104abd2ce28f42daac84,Data Analyst,2024-01-26T21:12:32Z,https://www.dice.com/job-detail/dd47473a-3c84-46e3-84ab-212b517dd9cf,"Trenton, NJ, USA","$60,000 - $70,000",AaraTechnologies Inc,"Third Party, Contract",FALSE,Hybrid/Onsite,2024-01-26T21:12:32Z,2024-01-31T11:53:43Z,Data Analyst
dad8361bfbbc2bff6327c048fdb6b966,Data Analyst,2024-01-26T21:20:27Z,https://www.dice.com/job-detail/75f510f1-82a5-4015-9655-9360293f6b16,"Cary, NC, USA","$60,000 - $70,000",AaraTechnologies Inc,Contract,FALSE,Hybrid/Onsite,2024-01-26T21:20:27Z,2024-01-31T11:53:43Z,Data Analyst
7d2655850752f3571b9d2007f82f543a,Data Analyst,2024-01-26T21:06:02Z,https://www.dice.com/job-detail/5ea0fcc7-4645-44d7-8910-c960d58125f1,"Fort Lee, NJ, USA","$60,000 - $70,000",AaraTechnologies Inc,Contract,FALSE,Hybrid/Onsite,2024-01-26T21:06:02Z,2024-01-31T11:53:43Z,Data Analyst
384d85fae27259068824a82fc9cb34e8,Business Analyst/Data Analyst,2024-01-25T22:15:45Z,https://www.dice.com/job-detail/a062eea8-14f7-45ed-a4c1-86d313b55d15,"Montgomery, AL, USA",,TechNix LLC,Contract,FALSE,Hybrid/Onsite,2024-01-31T05:02:52Z,2024-01-31T11:53:43Z,Data Analyst
8573746789d685b461ab542810d782e2,Business Systems Analyst/Data Analyst,2024-01-11T22:01:20Z,https://www.dice.com/job-detail/ea4d3b08-4e10-43b0-9568-e270ccb503fc,"Philadelphia, PA, USA",Depends on Experience,"InSource, Inc.",Contract,FALSE,Hybrid/Onsite,2024-01-26T01:19:26Z,2024-01-31T11:53:43Z,Data Analyst
78615675363d1caa5ccdfc6a3179adc3,Financial Data Analyst,2024-01-19T17:32:45Z,https://www.dice.com/job-detail/39d30d4f-2209-47ab-9773-2158fa39eed1,"St. Louis, MO, USA",$40 - $50 hourly,Kforce Technology Staffing,Contract,FALSE,Hybrid/Onsite,2024-01-31T04:36:46Z,2024-01-31T11:53:43Z,Data Analyst
acdb06d697e89d4758a54c625615b5f1,Lead Data Management Analyst,2024-01-23T19:05:58Z,https://www.dice.com/job-detail/87f4b209-d357-4d93-bf8f-791534071ff1,"Charlotte, NC, USA",USD57 - USD62,Randstad Digital,Contract,FALSE,Hybrid/Onsite,2024-01-31T04:05:10Z,2024-01-31T11:53:43Z,Data Analyst
890545be0fa95d875e739c8bff08383f,Data Analyst,2024-01-19T20:58:00Z,https://www.dice.com/job-detail/1d55c111-a828-4a3e-afb1-523f39af0273,"McLean, VA, USA",Depends on Experience,Trident Consulting Inc.,"Contract, Third Party",FALSE,Hybrid/Onsite,2024-01-30T16:03:17Z,2024-01-31T11:53:43Z,Data Analyst
769938aad07c2229680df50bd791932d,Data Analyst - Onsite In New Jersey,2024-01-26T20:06:27Z,https://www.dice.com/job-detail/89c56d01-2396-46ea-b141-266791f5df82,"Woodbridge Township, NJ, USA",,Beacon Hill Staffing Group,"Full-time, Contract",FALSE,Hybrid/Onsite,2024-01-31T04:07:59Z,2024-01-31T11:53:43Z,Data Analyst
14e6a5f47d413df831913f960fd00ff9,Data Analyst /Hybrid,2024-01-23T14:21:10Z,https://www.dice.com/job-detail/19d176ab-0b5d-44af-a98e-2e58451356c3,"Cleveland, OH, USA",$40 - $45,"DVI Technologies, Inc.",Contract,FALSE,Hybrid/Onsite,2024-01-25T14:22:34Z,2024-01-31T11:53:43Z,Data Analyst
